Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway,traffic_flow,energy_demand
0.0,A1,'Parkplatz Großraum’,27.42,2,2,47029834,Großram,POINT (598918.172416926 477113.1170866974),18630.868491944,12193.00000000001,45433.235904454676
1.0,A1,'Steinhäusl',32.7,0,2,187691678,Steinhäusl,POINT (594053.7768457728 476412.5414740073),24098.6768115261,31485.99999999933,34431.882550071685
3.0,A1,'Kirchstetten',44.88,1,0,228284224,Kirchstetten,POINT (583166.599872172 479178.9877391227),36262.0457582593,29897.99999542764,72732.0809427628
4.0,A1,'St. Pölten',62.9,0,2,228284224,St. Pölten,POINT (565411.8660079052 477639.9632115253),54307.519355239,35583.0,128422.41740026571
6.0,A1,'Roggendorf',76.82,1,0,210456428,Roggendorf,POINT (552335.5479390357 479297.2368483514),68150.1264307181,28377.0,78562.33219617409
7.0,A1,'Ornding',88.04,1,0,-12284963,Ornding,POINT (542976.5205263259 479597.9797734821),79331.7433566839,27048.0,60488.07492270462
9.0,A1,'Kemmelbach',101.38,0,0,322544273,Kemmelbach,POINT (531465.51598115 474350.2025373846),92757.6672485543,26898.000000000207,72226.10016870651
10.0,A1,'Viehdorf',118.17,1,0,69745896,Viehdorf,POINT (514650.5215557402 473063.6424604911),110788.117558731,25545.0,92117.57063469278
12.0,A1,'Parkplatz Zeillern’,124.31,2,0,895761100,Zeillern,POINT (510628.7832619262 470610.6068716513),115669.740972646,24685.0,24100.574794498374
14.0,A1,'Strengberg',136.0,0,0,322545232,Strengberg,POINT (499274.7511604758 469227.1231464954),127419.883969473,25773.0,60567.28709144443
16.0,A1,'Ennsblick',147.1,2,0,523610724,Ennsblick,POINT (490761.9664102845 474604.9867285571),138438.777669938,27181.0,59900.909934467796
17.0,A1,'Parkplatz Ennsdorf’,152.88,2,0,904639431,Ennsdorf,POINT (486967.3882255752 478508.8155654778),144219.521808836,26232.408315204048,30328.568123459037
19.0,A1,'Enns Nord',156.79,1,0,523633283,Enns Nord,POINT (483216.736901953 479172.7535901537),148036.797393782,29791.88732837659,22744.768825614865
21.0,A1,'Ansfelden Nord',171.01,0,0,35323434,Ansfelden Nord,POINT (470522.4031152448 479865.3730793009),162316.504436048,48225.58896718505,137729.45647842763
23.0,A1,'Allhaming Nord',182.6,1,0,322545857,Allhaming Nord,POINT (461397.1973813765 473325.4912737869),173899.962969708,22478.0,52074.59618392183
24.0,A1,'Lindach Nord',212.26,0,0,531736197,Lindach Nord,POINT (438763.705418745 456306.1767468626),203639.738600817,24091.0,143292.1869458095
27.0,A1,'Hainbach Nord',230.72,1,0,160829030,Hainbach Nord,POINT (423068.5794925663 450858.2272473382),222093.800281812,15023.0,55447.073726717535
29.0,A1,'Wildenhag Nord',243.76,2,0,531252271,Wildenhag Nord,POINT (412469.9910011468 446875.8517285118),235066.348665036,17111.546808170722,44396.07377615938
30.0,A1,'Oberwang',251.03,1,0,313110417,Oberwang,POINT (407438.9585875917 442616.3097934633),242460.019486016,15727.0,23256.052200310536
31.0,A1,'Mondsee',259.23,0,2,47030500,Mondsee,POINT (404661.7156957533 437484.534727912),250516.989637787,15727.000882328592,25342.395337159454
32.0,A1,‘Parkplatz Ölgraben’,268.98,2,0,531021199,Ölgraben,POINT (396872.1871334587 438296.5487860042),260279.124098433,18793.0,36691.95858378413
34.0,A1,'Enzersberg',274.82,2,0,67810359,Enzersberg,POINT (391289.7080105876 439586.1752572357),266135.990207015,21891.999995182963,25643.70256417291
