nb,highway,position,geometry,check_needed
128,A1,201382.07725738263,POINT (441013.3571816317 456112.6461115117),False
385,A1,24593.36978491146,POINT (593599.9621896219 476209.6463992175),False
259,A1,224796.67184965694,POINT (420488.6420546854 450327.3538533028),False
137,A1,229207.28377629796,POINT (416210.3239609336 450775.1985212988),False
265,A1,260598.97740102184,POINT (396557.30586906 438233.5194673681),False
144,A1,241211.8618864554,POINT (407913.8823478949 443767.9151525964),False
272,A1,269357.2205718512,POINT (388238.8201051518 439119.3822390828),False
403,A1,35782.5840283715,POINT (583643.9996822077 479112.2179012065),False
277,A1,287029.9073735415,POINT (373977.6371764686 432959.9496342595),False
409,A1,41426.84763160818,POINT (578024.9312605037 479083.2950367955),False
4122,A1,163733.5624070361,POINT (469391.8513989053 479007.6740576554),False
286,A1,283582.0230432516,POINT (375722.3384103142 435925.3969522606),False
415,A1,47281.1526506552,POINT (572426.6006703391 477867.9577098853),False
5022,A1,291115.9001046401,POINT (372024.7570702111 430007.9242142811),False
423,A1,58787.81612528955,POINT (561137.4151024043 476583.2017986398),False
431,A1,86647.97824292586,POINT (537161.1369427266 476263.9763155412),False
305,A1,284453.6898789855,POINT (375222.7788957352 435212.814999882),False
439,A1,118863.21319924775,POINT (507612.1678786852 469838.5990094481),False
955,A1,8125.640057716484,POINT (608659.0588004531 478740.1910644548),False
961,A1,68729.78799259978,POINT (551801.2842266524 479525.9140772127),False
450,A1,144728.93913870526,POINT (486457.9099437674 478543.2385671384),False
977,A1,95921.97979411297,POINT (528877.3031570743 472529.4476405613),False
978,A1,147274.4560113789,POINT (483950.3786164476 478954.7663550891),False
82,A1,280794.27741227497,POINT (378345.4580691092 436808.1280382979),False
983,A1,108149.54495619444,POINT (517282.6972653999 473119.6042149588),False
991,A1,123870.45422764737,POINT (502725.4302339917 469422.7135373614),False
483,A1,175108.05924375262,POINT (460737.7515482611 472316.452966867),False
999,A1,137219.25183473382,POINT (491232.929958891 473479.3229747048),False
492,A1,275983.36928936804,POINT (381741.7138987376 439083.0266793048),False
110,A1,165288.6307251528,POINT (468117.9095149514 478116.4760824502),False
751,A1,18037.06669143808,POINT (599494.8383991778 477037.7297906691),False
754,A1,29504.143607190123,POINT (589537.0711373462 477507.6494828162),False
120,A1,185830.91448437204,POINT (453632.01794831 464354.9860745959),False
507,A1,155635.38680032062,POINT (476461.715686752 482340.5004601686),False
253,A1,211383.83604835084,POINT (432555.3139753838 452815.2068229691),False
323,A10,56216.77883685867,POINT (403236.1792312884 391452.1699233857),False
605,A10,120197.62985739148,POINT (421001.220423067 337831.3696209265),False
613,A10,140072.32255019888,POINT (413776.8855387385 323336.8248413596),False
297,A10,27045.219739141863,POINT (387138.4542053328 408703.6949406079),False
330,A10,58691.31737046798,POINT (404603.7096707129 389626.3234886876),False
269,A10,8486.791312332947,POINT (381582.3206595097 425677.9147533895),False
303,A10,36042.78821003046,POINT (388446.3357166317 400183.5590308472),False
