Time of calculation: 20210907-164810; value of objective: 176.89531859080944;  acc=20;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.003;  cars=20;  i=0.05;  T=10
highway,name,dist_along_highway,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,18630.868491944,2.0,2.0,25490.00000000002,12193.00000000001,59974.325349551305,45433.23590445468,1.0,1.0,1.0,103.35397604528032,103.35397604528032,0.0,0.0,76.56900000337362,32.94573166808374,13297.00000000001,14541.089445096624,-0.0,0.0,0.0,43.62326833528987
A1,'Steinhäusl',24098.6768115261,2.0,0.0,63195.99999999913,31485.99999999933,111561.50482266734,34431.882550071685,0.0,1.0,0.0,275.0121351530768,0.0,76.56900000337362,32.94573166808374,136.2413793182988,136.2413793182988,31709.9999999998,77129.62227259565,1.0,275.0121351530768,43.62326833528987,0.0
A1,'Kesselhof',36260.395870592,1.0,1.0,30234.999996719125,0.0,109130.9556998184,0.0,1.0,1.0,0.0,327.3928670994552,0.0,0.0,0.0,0.0,0.0,30234.999996719125,109130.9556998184,1.0,327.3928670994552,0.0,0.0
A1,'Kirchstetten',36262.0457582593,0.0,1.0,29897.99999542764,29897.99999542764,72732.0809427628,72732.0809427628,1.0,1.0,1.0,354.4376221465872,354.4376221465872,136.2413793182988,136.2413793182988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',54307.519355239,2.0,0.0,71148.0,35583.0,227454.84943410664,128422.41740026572,1.0,2.0,1.0,546.1231689840212,249.0258728824984,0.0,0.0,136.2413793182988,136.2413793182988,35565.0,99032.43203384092,1.0,297.0972961015228,0.0,0.0
A1,'Roggendorf',68150.1264307181,0.0,1.0,28377.0,28377.0,78562.33219617409,78562.33219617409,1.0,1.0,1.0,371.9283759068211,371.9283759068211,136.2413793182988,136.2413793182988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Schallaburg',68230.25688284212,1.0,1.0,29188.0,0.0,136934.36037638842,0.0,1.0,1.0,0.0,400.0,0.0,0.0,0.0,10.803081129165264,0.0,29188.0,136934.36037638842,1.0,400.0,0.0,10.803081129165264
A1,'Ornding',79331.7433566839,0.0,1.0,27048.0,27048.0,60488.07492270462,60488.07492270462,1.0,1.0,1.0,181.46422476811387,181.46422476811387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',91687.56131897827,1.0,0.0,27161.40445083877,0.0,104129.25066774736,0.0,1.0,1.0,0.0,186.94945381410855,0.0,10.803081129165264,0.0,136.2413793182988,0.0,27161.40445083877,104129.25066774736,1.0,186.94945381410855,10.803081129165264,136.2413793182988
A1,'Kemmelbach',92757.6672485543,0.0,0.0,26898.000000000207,26898.000000000207,72226.10016870651,72226.10016870651,1.0,1.0,1.0,216.67830050611954,216.67830050611954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
